id,locality,post_code,,
28195,Morangarell,2666,,
28196,Morundah,2700,,
28197,Morven,2660,,
28198,Mount Adrah,2729,,
28199,Mount Austin,2650,,
28200,Mount Cooper,2631,,
28201,Mount Crystal,2665,,
28202,Mount Darragh,2632,,
28203,Mount Fairy,2580,,
28204,Mount Horeb,2729,,
28205,Mount Rae,2580,,
28206,Mountain Creek,2644,,
28207,Mulgowrie,2583,,
28208,Mullengandra,2644,,
28209,Mullion,2582,,
28210,Mulloon,2622,,
28211,Mulwala,2647,,
28212,Mummel,2580,,
28213,Mundarlo,2729,,
28214,Munderoo,2653,,
28215,Mundongo,2720,,
28216,Munyabla,2658,,
28217,Murrami,2705,,
28218,Murray,2708,,
28219,Murray Gorge,2642,,
28220,Murrengenburg,2622,,
28221,Murrin Bridge,2672,,
28222,Murringo,2586,,
28223,Murrulebale,2652,,
28224,Murrumbateman,2582,,
28225,Murrumbucca,2630,,
28226,Murrumburrah,2587,,
28227,Muttama,2722,,
28228,Myall Park,2681,,
28229,Myalla,2630,,
28230,Myrtle Park,2713,,
28231,Myrtleville,2580,,
28232,Nanangroe,2582,,
28233,Nangus,2722,,
28234,Nanima,2618,,
28235,Naradhan,2669,,
28236,Narraburra,2666,,
28237,Narrandera,2700,,
28238,Narrangullen,2582,,
28239,Narrawa,2583,,
28240,Nericon,2680,,
28241,Neringla,2622,,
28242,Nerriga,2622,,
28243,Nimmitabel,2631,,
28244,Nimmo,2628,,
28245,North Albury,2640,,
28246,North Yalgogrin,2671,,
28247,Northangera,2622,,
28248,Nubba,2587,,
28249,Numbla Vale,2628,,
28250,Numeralla,2630,,
28251,Nurenmerenmong,2649,,
28252,Nyora,2646,,
28253,Oaklands,2646,,
28254,Oallen,2622,,
28255,Oberne Creek,2650,,
28256,Old Adaminaby,2629,,
28257,Old Junee,2652,,
28258,One Tree,2711,,
28259,Oolong,2581,,
28260,Osborne,2656,,
28261,Oura,2650,,
28262,Ournie,2640,,
28263,Oxley,2711,,
28264,Paddys Flat,2632,,
28265,Paddys River,2653,,
28266,Palarang,2632,,
28267,Palerang,2622,,
28268,Parkesbourne,2580,,
28269,Paupong,2628,,
28270,Paynters Siding,2700,,
28271,Peak View,2630,,
28272,Peelwood,2583,,
28273,Pejar,2583,,
28274,Perisher Valley,2624,,
28275,Pilot Wilderness,2627,,
28276,Pinbeyan,2720,,
28277,Pine Lodge,2714,,
28278,Pine Valley,2630,,
28279,Pleasant Hills,2658,,
28280,Polo Flat,2630,,
28281,Pomeroy,2580,,
28282,Pretty Pine,2710,,
28283,Primrose Valley,2621,,
28284,Providence Portal,2629,,
28285,Prunevale,2587,,
28286,Pucawan,2666,,
28287,Pulletop,2650,,
28288,Quandary,2665,,
28289,Quandialla,2721,,
28290,Queanbeyan,2620,,
28291,Queanbeyan East,2620,,
28292,Queanbeyan West,2620,,
28293,Quialigo,2580,,
28294,Quidong,2632,,
28295,Quiera,2622,,
28296,Rand,2642,,
28297,Rankins Springs,2669,,
28298,Rannock,2701,,
28299,Red Hill,2720,,
28300,Redlands,2646,,
28301,Reefton,2666,,
28302,Reids Flat,2586,,
